Date_Clean2,Address_Clean,Type_Clean1
9/2/16,Market Street/S 36th Street 17011,Driving Under the Influence
4/15/16,Market Street/Central Boulevard 17011,Driving Under the Influence
1/3/15,Market Street/Central Boulevard 17011,Driving Under the Influence
10/27/16,Market Street/N 35th Street 17011,Driving Under the Influence 
12/28/15,Market Street/Orrs Bridge Road 17011,Driving Under the Influence 
12/5/16,Motter Lane/N St Johns Drive 17011,Driving Under the Influence
12/25/15,Mountain View Road/Hunters Drive 17011,Driving Under the Influence 
12/19/15,N Sporting Hill Road/Carlisle Pike 17011,Prohibited Acts; Penalties
9/19/16,N St Johns Drive/Carlisle Pike 17011,Simple Assault
8/5/16,Old Taler Road/Orrs Bridge Road 17011,Hit and Run
12/22/16,Orrs Bridge Road/Lamp Post Lane 17011,Driving Under the Influence
7/22/16,Orrs Bridge Road/Creekview Road 17011,Driving Under the Influence
4/14/16,Orrs Bridge Road/Creekview Road 17011,Driving Under the Influence
10/26/16,Orrs Bridge Road/Ridgeland Boulevard 17011,Driving Under the Influence
10/29/16,Orrs Bridge Road/Lamp Post Lane 17011,Driving Under the Influence 
3/19/15,Orrs Bridge Road/Conestoga Road 17011,Theft by Unlawful Taking
6/30/15,Pinehurst Way/Good Hope Road 17011,Prohibited Acts; Penalties
7/25/16,RT 581 EB at MM 5.4 17011,Driving Under the Influence
6/1/16,RT 581/Creekview Road 17011,Driving Under the Influence
4/27/16,RT 581/Carlisle Pike 17011,Driving Under the Influence
3/13/15,Rt 581/Trindle Road 17011,Driving Under the Influence
2/18/16,RT 581/Trindle Road 17011,Driving Under the Influence 
2/13/16,Rt 581 at Carlisle Pike 17011,Driving Under the Influence 
8/26/16,S 32nd Street/Trindle Road 17011,Driving Under the Influence 
12/3/16,S 38th Street/Market Street 17011,Driving Under the Influence 
9/20/15,S Sporting Hill Road/E Trindle Road 17011,Driving Under the Influence
3/4/15,S Sporting Hill Road/Carlisle Pike 17011,Hit and Run
2/15/15,Shaull Road/Reed Lane 17011,Criminal Mischief 
1/25/15,Silver Spring Road/Carlisle Pike 17011,Prohibited Acts; Penalties 
2/19/16,St Johns Church Road/East Trindle Road 17011,Driving Under the Influence
2/6/15,St Johns Church Road/Carlisle Pike 17011,Driving Under the Influence
1/30/15,St Johns Church Road/East Trindle Road 17011,Driving Under the Influence
8/24/16,St Johns Church Road/Simpson Ferry Road 17011,Hit and Run
2/11/16,St Johns Drive/Packard Lane 17011,Prohibited Acts; Penalties
3/18/15,St Johns Church Road/Hampden Avenue 17011,Prohibited Acts; Penalties
7/10/15,St Johns Church Road/Carlisle Pike 17011,Public Drunkenness 
6/6/15,St Johns Church Road/Trindle Road 17011,Public Drunkenness 
10/3/16,Technology Parkway/Wertzville Road 17011,Driving Under the Influence
6/28/15,Trindle Road/Sheely Lane 17011,Accidents Involving Damage to Attended Vehicle
5/28/16,Trindle Road/St Johns Church Road 17011,Driving Under the Influence
4/4/15,Trindle Road/St Johns Church Road 17011,Driving Under the Influence
10/19/16,Trindle Road/Oak Avenue 17011,Driving Under the Influence 
3/12/16,Valley Road/Laurel Valley Lane 17011,Driving Under the Influence
8/18/15,Valley Road/Millenium Way 17011,Driving Under the Influence 
2/22/15,Valley Road/Wertzville Road 17011,Hit and Run
4/25/15,Valley Road/Wertzville Road 17011,Theft of a Motor Vehicle
4/26/16,Wertzville Road/Valley Road 17011,Accidents Involving Damage to Attended Vehicle
2/3/16,Wertzville Road/Good Hope Road 17011,Accidents Involving Damage to Attended Vehicle
1/1/16,Wertzville Road/Westbury Drive 17011,Driving Under the Influence
11/26/16,Wertzville Road/I81N 17011,Driving Under the Influence
11/27/15,Wertzville Road/Technology Parkway 17011,Driving Under the Influence
7/5/15,Wertzville Road/I81 N 17011,Driving Under the Influence
9/30/16,Wertzville Road/I81 17011,Driving Under the Influence 
3/14/15,Wertzville Road/I 81 North 17011,Driving Under the Influence 
10/31/15,Wertzville Road/Valley Road 17011,Driving Under the Influence 
6/6/15,Wertzville Road/Mountain Lane 17011,Driving Under the Influence 
2/8/16,Wertzville Road/Dorchester Road 17011,False ID to Law Enforcement
6/8/15,Wertzville Road/I 81 South 17011,Fleeing or Eluding Police
10/20/15,Wertzville Road/Good Hope Road 17011,Prohibited Acts; Penalties 
12/23/16,Westbury Drive/Putt Lane 17011,Driving Under the Influence 
1/6/15,Woodland Drive/Good Hope Road 17011,Hit and Run
